"Timestamp","How long have you been working on developing software?","How frequently do or did you answer questions on Stack Overflow?","How frequently do or did you include code snippets in your answers on Stack Overflow?","Where did the code snippets in your answers come from? [I copied them from my own personal projects.]","Where did the code snippets in your answers come from? [I copied them from my company's projects.]","Where did the code snippets in your answers come from? [I copied them from open source projects.]","Where did the code snippets in your answers come from? [I wrote the new code from scratch.]","Where did the code snippets in your answers come from? [I copied the code from the question and modified it for the answer.]","Where did the code snippets in your answers come from? [Others]","Were you aware, at the time of copying the code, that Stack Overflow apply Creative Commons Attribution-ShareAlike 3.0 Unported (CC BY-SA 3.0) to content in the posts, including code snippets?","Do you usually include a software license in your code snippets on Stack Overflow?","How frequently did you check the software license of the code snippets you copy to Stack Overflow if they conflict with Stack Overflow's CC BY-SA 3.0 license?","Outdated code occurs when code snippets in your answers are no longer up-to-date with the latest version of the software you copied the code from. Have you ever been notified of outdated code in your Stack Overflow answers? ","How frequently were you notified of outdated or deprecated code in your Stack Overflow answers?","How frequently did you fix your outdated code on Stack Overflow?","Do you have any other concerns regarding answering Stack Overflow with code snippets?"
"2017/07/27 11:50:18 PM GMT+1","5 - 10 years","Rarely (roughly once or twice a month)","Occasionally (41--60% of the time)","Frequently","Frequently","Very frequently","Frequently","Very frequently","Frequently","Yes","No.","Very rarely (1--20% of the time)","No","Never (0% of my answers)","",""
"2017/07/27 11:52:41 PM GMT+1","More than 10 years","Very Frequently (every day)","Very Frequently (81--100% of the time)","Very rarely","Never","Never","Very frequently","Occasionally","Very rarely","No","No.","Never (0% of the time)","Yes","Very rarely (1--20% of my answers)","Very rarely (1--20% of the cases)",""
"2017/07/27 11:52:55 PM GMT+1","5 - 10 years","Rarely (roughly once or twice a month)","Frequently (61--80% of the time)","Occasionally","Never","Rarely","Frequently","Very rarely","Never","Yes","No.","Rarely (21--40% of the time)","Yes","Very rarely (1--20% of my answers)","Occasionally (41--60% of the cases)",""
"2017/07/27 11:54:35 PM GMT+1","3 - 5 years","Very Frequently (every day)","Occasionally (41--60% of the time)","Very frequently","Never","Never","Very frequently","Very frequently","Occasionally","No","No.","Never (0% of the time)","Yes","Very rarely (1--20% of my answers)","Very frequently (81--100% of the cases)",""
"2017/07/27 11:55:33 PM GMT+1","5 - 10 years","Occasionally (roughly once or twice a week)","Very Frequently (81--100% of the time)","Frequently","Very rarely","Occasionally","Very frequently","Frequently","Occasionally","Yes","No.","Never (0% of the time)","Yes","Very rarely (1--20% of my answers)","Frequently (61--80% of the cases)","I think it's important to realise the code snippets are designed to be very small, useful to illustrate concepts (10 lines or less). When you consider licensing laws of such a small amount of code, while technically may be violating a licence, in practice it would be nearly impossible to enforce such a claim. "
"2017/07/28 12:00:41 AM GMT+1","More than 10 years","Frequently (roughly 3-6 times a week)","Very Frequently (81--100% of the time)","Occasionally","Occasionally","Frequently","Occasionally","Rarely","Rarely","No","No.","Never (0% of the time)","Yes","Very rarely (1--20% of my answers)","Occasionally (41--60% of the cases)",""
"2017/07/28 12:34:38 AM GMT+1","More than 10 years","Occasionally (roughly once or twice a week)","Frequently (61--80% of the time)","Very frequently","Never","Never","Frequently","Very rarely","Never","Yes","No.","Never (0% of the time)","No","Never (0% of my answers)","",""
"2017/07/28 12:43:43 AM GMT+1","More than 10 years","Occasionally (roughly once or twice a week)","Very Frequently (81--100% of the time)","Very frequently","Never","Never","Frequently","Rarely","Never","Yes","No.","Rarely (21--40% of the time)","No","Very rarely (1--20% of my answers)","Rarely (21--40% of the cases)",""
"2017/07/28 1:04:51 AM GMT+1","More than 10 years","Rarely (roughly once or twice a month)","Very Rarely (1--20% of the time)","Very frequently","Never","Never","Very frequently","Frequently","Never","No","No.","Never (0% of the time)","No","Never (0% of my answers)","",""
"2017/07/28 1:53:27 AM GMT+1","More than 10 years","Frequently (roughly 3-6 times a week)","Very Frequently (81--100% of the time)","Never","Never","Never","Very frequently","Never","Never","No","No.","Never (0% of the time)","Yes","Rarely (21--40% of my answers)","Rarely (21--40% of the cases)",""
"2017/07/28 1:57:34 AM GMT+1","1 - 2 years","Very Frequently (every day)","Very Frequently (81--100% of the time)","Rarely","Never","Never","Frequently","Frequently","Rarely","No","No.","Very rarely (1--20% of the time)","No","Never (0% of my answers)","",""
"2017/07/28 3:58:41 AM GMT+1","5 - 10 years","Very Frequently (every day)","Frequently (61--80% of the time)","Very frequently","Rarely","Rarely","Frequently","Occasionally","Occasionally","Yes","No.","Rarely (21--40% of the time)","Yes","Rarely (21--40% of my answers)","Occasionally (41--60% of the cases)",""
"2017/07/28 5:00:53 AM GMT+1","3 - 5 years","Rarely (roughly once or twice a month)","Very Frequently (81--100% of the time)","Very rarely","Never","Never","Very frequently","Rarely","Very rarely","No","No.","Never (0% of the time)","Yes","Very rarely (1--20% of my answers)","Occasionally (41--60% of the cases)","so code snippets are great but there is lot to improve .
it's hard to edit and see output in so but website like jsfiddle , jsbin provide nice interface where code editing and output is easy to do.

outer thing is in so lot of code snippets doesnt work because some users doesnt add libraries like angular , jquery i think it's better if so can identify and ask user to auto inject relevant libraries "
"2017/07/28 6:48:40 AM GMT+1","3 - 5 years","Rarely (roughly once or twice a month)","Frequently (61--80% of the time)","Very rarely","Never","Rarely","Frequently","Occasionally","Very rarely","Yes","Yes, in a text surrounding the source code.","Very rarely (1--20% of the time)","Yes","Very rarely (1--20% of my answers)","Very frequently (81--100% of the cases)",""
"2017/07/28 7:20:00 AM GMT+1","5 - 10 years","Rarely (roughly once or twice a month)","Very Frequently (81--100% of the time)","Frequently","Rarely","Very rarely","Very frequently","Very frequently","Occasionally","No","No.","Never (0% of the time)","No","Never (0% of my answers)","",""
"2017/07/28 7:43:34 AM GMT+1","3 - 5 years","Occasionally (roughly once or twice a week)","Occasionally (41--60% of the time)","Occasionally","Rarely","Never","Very frequently","Frequently","Occasionally","No","No.","Never (0% of the time)","Yes","Very rarely (1--20% of my answers)","Very frequently (81--100% of the cases)",""
"2017/07/28 7:43:59 AM GMT+1","5 - 10 years","Very Rarely (roughly once or twice a year)","Frequently (61--80% of the time)","Rarely","Rarely","Rarely","Frequently","Frequently","Very frequently","No","No.","Never (0% of the time)","No","Rarely (21--40% of my answers)","Rarely (21--40% of the cases)",""
"2017/07/28 7:49:32 AM GMT+1","5 - 10 years","Occasionally (roughly once or twice a week)","Frequently (61--80% of the time)","Frequently","Occasionally","Occasionally","Very frequently","Very frequently","Occasionally","Yes","No.","Very Frequently (81--100% of the time)","Yes","Very rarely (1--20% of my answers)","Very frequently (81--100% of the cases)",""
"2017/07/28 8:09:26 AM GMT+1","More than 10 years","Occasionally (roughly once or twice a week)","Very Frequently (81--100% of the time)","Very frequently","Very rarely","Never","Frequently","Very rarely","Very rarely","No","No.","Never (0% of the time)","No","Never (0% of my answers)","","No I don't have any."
"2017/07/28 8:09:48 AM GMT+1","5 - 10 years","Occasionally (roughly once or twice a week)","Very Frequently (81--100% of the time)","Occasionally","Never","Very rarely","Very frequently","Very frequently","Occasionally","Yes","No.","Rarely (21--40% of the time)","Yes","Very rarely (1--20% of my answers)","Very frequently (81--100% of the cases)",""
"2017/07/28 9:06:16 AM GMT+1","5 - 10 years","Occasionally (roughly once or twice a week)","Very Frequently (81--100% of the time)","Very frequently","Never","Rarely","Very frequently","Very rarely","Never","Yes","No.","Rarely (21--40% of the time)","Yes","Very rarely (1--20% of my answers)","Frequently (61--80% of the cases)",""
"2017/07/28 9:34:29 AM GMT+1","More than 10 years","Frequently (roughly 3-6 times a week)","Very Frequently (81--100% of the time)","Very rarely","Very rarely","Rarely","Very frequently","Occasionally","Very rarely","Yes","No.","Never (0% of the time)","No","Never (0% of my answers)","",""
"2017/07/28 9:58:17 AM GMT+1","More than 10 years","Occasionally (roughly once or twice a week)","Frequently (61--80% of the time)","Occasionally","Occasionally","Very rarely","Occasionally","Occasionally","Occasionally","Yes","No.","Never (0% of the time)","Yes","Very rarely (1--20% of my answers)","Frequently (61--80% of the cases)",""
"2017/07/28 10:13:33 AM GMT+1","More than 10 years","Frequently (roughly 3-6 times a week)","Occasionally (41--60% of the time)","Rarely","Never","Rarely","Frequently","Rarely","Never","Yes","No.","Never (0% of the time)","No","Never (0% of my answers)","",""
"2017/07/28 10:33:11 AM GMT+1","3 - 5 years","Frequently (roughly 3-6 times a week)","Very Frequently (81--100% of the time)","Occasionally","Very rarely","Occasionally","Frequently","Very frequently","Very rarely","Yes","No.","Never (0% of the time)","No","Never (0% of my answers)","",""
"2017/07/28 11:11:40 AM GMT+1","More than 10 years","Occasionally (roughly once or twice a week)","Very Frequently (81--100% of the time)","Very rarely","Never","Very rarely","Very frequently","Very frequently","Never","No","No.","Never (0% of the time)","No","Never (0% of my answers)","",""
"2017/07/28 12:06:29 PM GMT+1","5 - 10 years","Very Frequently (every day)","Very Frequently (81--100% of the time)","Occasionally","Never","Occasionally","Very frequently","Very frequently","Very rarely","Yes","No.","Frequently (61--80% of the time)","Yes","Very rarely (1--20% of my answers)","Very rarely (1--20% of the cases)",""
"2017/07/28 12:11:11 PM GMT+1","5 - 10 years","Very Rarely (roughly once or twice a year)","Rarely (21--40% of the time)","Occasionally","Never","Rarely","Very rarely","Occasionally","Never","No","No.","Never (0% of the time)","No","Never (0% of my answers)","",""
"2017/07/28 12:13:04 PM GMT+1","More than 10 years","Frequently (roughly 3-6 times a week)","Frequently (61--80% of the time)","Occasionally","Never","Never","Very frequently","Very rarely","Occasionally","Yes","No.","Never (0% of the time)","No","Never (0% of my answers)","","Code snippets are usually just a few lines of code so it will be hard to enforce any copyright claims except when it is a method used for something company-specific (such as generating encryption keys). Regardless, since most of the code I write is specifically to answer a given question and having full knowledge of the license system used by StackOverflow, it is entirely unimportant to concern myself with licensing the code provided. Also, code from MSDN documentation which I sometimes adapt and modify for answers are already in the public domain so it makes no sense re-licensing it.

On the matter of deprecation, I almost entirely use .NET which has got different versions of the framework. Therefore, code deprecation is not often a problem since what is deprecated on one version of the framework may be the only way of solving a given problem on an older version of the framework.
I may also have to add that questions I tend to answer are about how to solve general coding problems so they are not usually subject to deprecation."
"2017/07/28 2:17:16 PM GMT+1","More than 10 years","Frequently (roughly 3-6 times a week)","Very Frequently (81--100% of the time)","Very rarely","Never","Never","Very frequently","Rarely","Never","Yes","No.","Never (0% of the time)","No","Never (0% of my answers)","","I think you're forgetting the fact that as a community, we want to share knowledge. Patents, copyright issues and so on - it's all just annoying. We're there to have fun and to share knowledge with people. 

In the early days, the internet used to be full of free-for-all stuff without any licenses. Because of that, it was a fantastic tool to share knowledge and information on a vast scale. The remnant of this, open source, couldn't have existed without this!

Personally, I believe this ""intellectual property"" drive of the last decade is completely overrated. If you make something _substantial_, it's fine to be able to claim some ownership - but on snippets? It's like patenting the stuff you make in your free time in your shed... it doesn't make sense and just adds to the pile of legal bullshit imho."
"2017/07/28 3:12:18 PM GMT+1","More than 10 years","Occasionally (roughly once or twice a week)","Very Frequently (81--100% of the time)","Frequently","Occasionally","Rarely","Very frequently","Occasionally","Never","No","No.","Very Frequently (81--100% of the time)","No","Never (0% of my answers)","","No. I only put code on there that I have the right to (code I created or have permission to share). Adding the code is not an issue for me. "
"2017/07/28 4:47:13 PM GMT+1","3 - 5 years","Very Frequently (every day)","Very Frequently (81--100% of the time)","Occasionally","Never","Never","Frequently","Very frequently","Occasionally","No","No.","Never (0% of the time)","No","Very rarely (1--20% of my answers)","Rarely (21--40% of the cases)",""
"2017/07/29 1:51:16 AM GMT+1","5 - 10 years","Very Rarely (roughly once or twice a year)","Very Frequently (81--100% of the time)","Frequently","Frequently","Frequently","Occasionally","Occasionally","Occasionally","Yes","No.","Very rarely (1--20% of the time)","No","Never (0% of my answers)","",""
"2017/07/29 9:13:13 AM GMT+1","5 - 10 years","Occasionally (roughly once or twice a week)","Very Frequently (81--100% of the time)","Rarely","Never","Occasionally","Very frequently","Occasionally","Very rarely","Yes","No.","Very rarely (1--20% of the time)","Yes","Rarely (21--40% of my answers)","Very frequently (81--100% of the cases)","When I copy code it's usually short enough to be considered ""fair use"" but I am not a lawyer or copyright expert so some guidance from SO would be helpful. I'd also like the ability to flag/review questions that violate these guidelines. "
"2017/07/29 9:57:59 AM GMT+1","5 - 10 years","Very Frequently (every day)","Very Frequently (81--100% of the time)","Occasionally","Occasionally","Very frequently","Very frequently","Very frequently","Occasionally","Yes","No.","Rarely (21--40% of the time)","Yes","Occasionally (41--60% of my answers)","Very frequently (81--100% of the cases)",""
"2017/07/29 8:01:22 PM GMT+1","3 - 5 years","Occasionally (roughly once or twice a week)","Frequently (61--80% of the time)","Very rarely","Never","Never","Frequently","Frequently","Very rarely","No","No.","Never (0% of the time)","No","Never (0% of my answers)","","No"
"2017/07/29 8:26:09 PM GMT+1","More than 10 years","Rarely (roughly once or twice a month)","Rarely (21--40% of the time)","Rarely","Never","Occasionally","Very frequently","Very frequently","Never","No","No.","Never (0% of the time)","Yes","Very rarely (1--20% of my answers)","Very frequently (81--100% of the cases)","No"
"2017/07/29 10:35:24 PM GMT+1","3 - 5 years","Frequently (roughly 3-6 times a week)","Never (0% of the time)","","","","","","","","","","","","",""
"2017/07/30 2:37:54 PM GMT+1","More than 10 years","Rarely (roughly once or twice a month)","Frequently (61--80% of the time)","Occasionally","Very rarely","Rarely","Very frequently","Occasionally","Rarely","No","No.","Never (0% of the time)","No","Never (0% of my answers)","","The snippets are all small enough that I reckon they fall under fair use."
"2017/07/30 3:54:44 PM GMT+1","5 - 10 years","Frequently (roughly 3-6 times a week)","Very Frequently (81--100% of the time)","Rarely","Never","Rarely","Frequently","Occasionally","Never","Yes","No.","Very rarely (1--20% of the time)","Yes","Very rarely (1--20% of my answers)","Frequently (61--80% of the cases)",""
"2017/07/31 1:52:30 AM GMT+1","More than 10 years","Frequently (roughly 3-6 times a week)","Frequently (61--80% of the time)","Very rarely","Never","Never","Very frequently","Very frequently","Occasionally","No","No.","Never (0% of the time)","No","Never (0% of my answers)","",""
"2017/07/31 11:08:55 AM GMT+1","5 - 10 years","Rarely (roughly once or twice a month)","Frequently (61--80% of the time)","Occasionally","Very frequently","Rarely","Frequently","Very rarely","Never","No","No.","Never (0% of the time)","Yes","Rarely (21--40% of my answers)","Frequently (61--80% of the cases)",""
"2017/07/31 12:02:28 PM GMT+1","More than 10 years","Very Frequently (every day)","Frequently (61--80% of the time)","Occasionally","Occasionally","Occasionally","Occasionally","Frequently","Frequently","Yes","No.","Never (0% of the time)","Yes","Occasionally (41--60% of my answers)","Very frequently (81--100% of the cases)","I always try and attribute the code I take from other places. I feel pointing back to the origin should be sufficient in terms of giving credit where it's due. Open source is about the sharing of ideas so that others can build on them. Education is a primary use case of open source in my opinion. "
"2017/07/31 9:02:52 PM GMT+1","More than 10 years","Very Frequently (every day)","Very Frequently (81--100% of the time)","Very rarely","Very rarely","Never","Very frequently","Very frequently","Never","Yes","No.","Never (0% of the time)","Yes","Occasionally (41--60% of my answers)","Very frequently (81--100% of the cases)",""
"2017/08/01 2:33:50 AM GMT+1","3 - 5 years","Very Frequently (every day)","Very Frequently (81--100% of the time)","Never","Never","Never","Very frequently","Frequently","Never","Yes","No.","Never (0% of the time)","Yes","Very rarely (1--20% of my answers)","Occasionally (41--60% of the cases)","My only concern, albeit minor, is that I know people blindly copy my code without even understanding what the code does."
"2017/08/01 1:30:23 PM GMT+1","More than 10 years","Very Frequently (every day)","Occasionally (41--60% of the time)","Occasionally","Never","Never","Frequently","Occasionally","Never","No","No.","Never (0% of the time)","Yes","Very rarely (1--20% of my answers)","Occasionally (41--60% of the cases)","This survey may be inapplicable to me because I never copy code from existing projects."
"2017/08/01 2:12:18 PM GMT+1","More than 10 years","Occasionally (roughly once or twice a week)","Very Frequently (81--100% of the time)","Rarely","Never","Never","Frequently","Rarely","Rarely","No","No.","Never (0% of the time)","No","Never (0% of my answers)","","I don't have any concerns"
"2017/08/01 2:27:24 PM GMT+1","More than 10 years","Very Frequently (every day)","Frequently (61--80% of the time)","Occasionally","Never","Very rarely","Very frequently","Very rarely","Very rarely","No","No.","Never (0% of the time)","Yes","Very rarely (1--20% of my answers)","Frequently (61--80% of the cases)",""
"2017/08/01 4:07:34 PM GMT+1","More than 10 years","Rarely (roughly once or twice a month)","Frequently (61--80% of the time)","Frequently","Frequently","Occasionally","Very frequently","Frequently","Never","No","No.","Never (0% of the time)","No","Never (0% of my answers)","","No ;)"
"2017/08/01 7:00:03 PM GMT+1","More than 10 years","Rarely (roughly once or twice a month)","Very Frequently (81--100% of the time)","Rarely","Rarely","Never","Frequently","Occasionally","Never","No","No.","Never (0% of the time)","Yes","Very rarely (1--20% of my answers)","Frequently (61--80% of the cases)",""
"2017/08/01 9:55:01 PM GMT+1","More than 10 years","Very Rarely (roughly once or twice a year)","Very Frequently (81--100% of the time)","Occasionally","Occasionally","Very rarely","Frequently","Frequently","Very rarely","Yes","No.","Never (0% of the time)","Yes","Very rarely (1--20% of my answers)","Occasionally (41--60% of the cases)",""
"2017/08/02 7:04:11 PM GMT+1","5 - 10 years","Very Frequently (every day)","Very Frequently (81--100% of the time)","Occasionally","Never","Very rarely","Very frequently","Occasionally","Never","Yes","No.","Occasionally (41--60% of the time)","Yes","Rarely (21--40% of my answers)","Very frequently (81--100% of the cases)",""
"2017/08/02 8:44:38 PM GMT+1","More than 10 years","Frequently (roughly 3-6 times a week)","Very Frequently (81--100% of the time)","Occasionally","Never","Very rarely","Very frequently","Frequently","Occasionally","No","No.","Never (0% of the time)","No","Never (0% of my answers)","",""
"2017/08/03 9:24:13 PM GMT+1","More than 10 years","Very Frequently (every day)","Occasionally (41--60% of the time)","Occasionally","Very rarely","Very rarely","Very frequently","Frequently","Very rarely","Yes","No.","Very Frequently (81--100% of the time)","Yes","Very rarely (1--20% of my answers)","Very rarely (1--20% of the cases)","Stack Overflow did an effort to apply a MIT license to all code snippets, while keeping CC-SA for the text content. Too bad they didn't succeed with it, as it would have solved many issues."
"2017/08/04 12:41:50 PM GMT+1","More than 10 years","Frequently (roughly 3-6 times a week)","Occasionally (41--60% of the time)","Frequently","Rarely","Very rarely","Very frequently","Very frequently","Occasionally","Yes","No.","Never (0% of the time)","Yes","Occasionally (41--60% of my answers)","Occasionally (41--60% of the cases)","The main problem for me/us is outdated code, esp. as old answers have high google rank so that is what people see first, then try and fail. Thats why we're moving more and more of those examples to knowledge base and docs and rather link to those."
"2017/08/19 5:14:26 PM GMT+1","5 - 10 years","Very Frequently (every day)","Very Frequently (81--100% of the time)","Rarely","Rarely","Rarely","Very frequently","Occasionally","Never","Yes","No.","Occasionally (41--60% of the time)","No","Very rarely (1--20% of my answers)","Very rarely (1--20% of the cases)",""
"2017/08/25 6:58:29 AM GMT+1","More than 10 years","Occasionally (roughly once or twice a week)","Occasionally (41--60% of the time)","Occasionally","Never","Rarely","Very frequently","Very rarely","Frequently","No","No.","Never (0% of the time)","Yes","Occasionally (41--60% of my answers)","Very frequently (81--100% of the cases)","still no concerns. i know license is important (reason i do use my justwtfpl on all my github) but only up to the point where big money hits them. since i never had any such luck, never bothered and will continue to be reckless for now! ;)

PS: (1) i don't really care for / like anonymity, this is cregox. (2) when i chose ""occasionally"" on my answers, i'm not accurately acknowledging the precision under parenthesis. (3) i still do answer occasional answers on SO and never did so ""every day"" or even once or twice a week may have been more than what happened, can't recall. (4) i never copied anything without basically rewriting them - not worried about copyright just to make it a good answer (4.2) this is almost the answer to everything, or something."
"2017/08/25 11:45:05 AM GMT+1","5 - 10 years","Very Frequently (every day)","Frequently (61--80% of the time)","Frequently","Very rarely","Rarely","Frequently","Frequently","Occasionally","No","No.","Never (0% of the time)","No","Very rarely (1--20% of my answers)","Never (0% of the cases)",""
"2017/09/01 7:58:47 AM GMT+1","More than 10 years","Occasionally (roughly once or twice a week)","Very Frequently (81--100% of the time)","Frequently","Rarely","Very rarely","Very frequently","Frequently","Never","No","No.","Never (0% of the time)","No","Never (0% of my answers)","",""
"2017/09/08 11:09:23 PM GMT+1","More than 10 years","Occasionally (roughly once or twice a week)","Very Frequently (81--100% of the time)","Very frequently","Never","Very rarely","Very frequently","Very rarely","Never","Yes","No.","Never (0% of the time)","No","Never (0% of my answers)","","I only answer questions on VBA.  I do not think the issues that concern you apply to VBA since the most code is forward compatible."